POW(20.379451178462922,77.3964080821438)=2.12224620869388e+101
POW(15.774065270694845,92.92659126264248)=2.0932369364264177e+111
POW(87.06751830207517,89.67130113465393)=8.900746012275252e+173
POW(83.09845062813656,63.97302156586062)=6.3410281377744256e+122
POW(61.715369892287065,73.50917337915523)=4.076938630244984e+131
POW(13.746375829766855,15.799856722993747)=962078914730624128
POW(43.62403829098296,84.17430919827348)=1.0538821167268467e+138
POW(21.9103185380205,30.529968718625273)=8.510647716215228e+40
POW(44.27662306492275,12.924978596090206)=1891341935193320849408
POW(67.50920729370578,97.90319803669169)=1.2603434163267944e+179
POW(95.73142784531744,22.241451423806684)=1.152200984000017e+44
POW(35.950812586356484,37.38263102382907)=1.4337872907923978e+58
POW(61.96906260496278,2.5586521521957812)=38508.112624280075
POW(0.025732611943390757,37.393059387055466)=3.6570338649179435e-60
POW(64.90738795051647,68.81961590863305)=5.264851159595192e+124
POW(89.92367122488005,67.00822883679311)=8.426322175615094e+130
POW(72.22866665694622,82.64556710816716)=4.112527390223271e+153
POW(60.45402481547863,78.49369449852406)=6.770909154521232e+139
POW(75.5791630471186,55.74304148509358)=5.103228046270904e+104
POW(64.97104929617659,84.80130038075868)=5.260210396806117e+153
POW(78.51887802020593,54.50184934894769)=1.9036719562134435e+103
POW(81.23048712579569,99.74412695250827)=3.0427069627241375e+190
POW(77.4055248636376,68.28574831102208)=9.466875468580461e+128
POW(89.33077569043209,96.81522630482242)=7.702177355113557e+188
POW(87.23048098045918,68.21837045832325)=2.4503424535839205e+132
POW(4.8754207337973305,48.13303391090063)=1.306500971378972e+33
POW(30.329537665374573,68.25158350729313)=1.379388877498114e+101
POW(61.87727678617336,56.176215261829284)=4.379675162696825e+100
POW(51.32837302117791,62.882338837244966)=3.558604718664386e+107
POW(17.891491467318772,13.269906454016525)=41927839169829304
POW(83.79934498764709,34.53726829416901)=2.6514132703704256e+66
POW(53.79353314585639,93.58338533189962)=9.280663073338579e+161
POW(26.369084878390108,75.44469874938216)=1.637150317174781e+107
POW(43.431055723383224,10.752739039417214)=408169127322500288
POW(78.147291421274,40.040806107106505)=6.220132682225736e+75
POW(70.66448258121987,62.04643462722886)=5.449295177138099e+114
POW(38.63034791016161,99.70060663067885)=1.6509960776750677e+158
POW(43.54908150000884,16.133052122826882)=2.765245090465408e+26
POW(20.739266489302636,12.475206764125153)=26746676943921348
POW(60.56520534330685,66.42364596638245)=2.408587744670589e+118
POW(55.79275907507346,33.12257603172792)=7.098347553687342e+57
POW(29.050655692854004,7.544415216007838)=109309002398.19278
POW(75.57410246137457,11.271041407558487)=1483268726943670337536
POW(21.438463318863366,28.390161424615574)=6.205870105172534e+37
POW(93.44921922920382,58.800822545880415)=7.438248914310302e+115
POW(91.88139331764748,91.2638276877197)=1.484782617324968e+179
POW(10.377484228864223,95.72016816895686)=1.8218179108166348e+97
POW(42.390606538413365,75.70622522912714)=1.56473632802865e+123
POW(43.42967227453294,18.64941132732576)=3.4974786910446334e+30
POW(17.343300461224004,8.387711082163598)=24744523503.30964
POW(92.84859669927373,30.961327067592688)=8.412712146870268e+60
POW(74.47386255063275,50.71904529585859)=8.83587427954394e+94
POW(57.972001161878595,72.81399830703796)=2.4376634519925456e+128
POW(81.41965406376723,0.4540968294001154)=7.373201377372639
POW(39.994417597481444,77.48596347171375)=1.3566418268308868e+124
POW(87.07905041054029,52.92190369170363)=4.612381045600959e+102
POW(58.26164194306841,36.60795755660814)=4.236972834335991e+64
POW(91.78039113409295,42.70661111541063)=6.643499000291494e+83
POW(21.506920309670438,95.5340848259449)=2.0260085349207484e+127
POW(33.378426539539085,51.96131605737856)=1.4497431409087181e+79
POW(94.18561093841518,48.783260679940184)=1.9833681241354045e+96
POW(86.11760005845551,56.3444890330617)=1.0758838036993684e+109
POW(96.71235820623161,30.283711452330035)=1.3420329165596014e+60
POW(83.51962102720576,42.29508485507416)=1.9151743520972244e+81
POW(3.4983114500813874,12.097961529443674)=3798209.065941801
POW(82.86021831176093,7.581590276938684)=350036986552531.6
POW(74.27254126747354,13.430339469246489)=1.3361614553292056e+25
POW(10.527877406021654,50.8050329770952)=8.710819741292251e+51
POW(50.48866497403789,55.089919559358705)=6.742395738237327e+93
POW(15.59269199656827,70.56216991365261)=1.4965849548918241e+84
POW(27.7389197353828,86.39519179537169)=4.742397173945989e+124
POW(51.20641673165084,93.98905696902798)=4.547650938382304e+160
POW(28.451885069687847,37.05809397950638)=7.701650183962534e+53
POW(76.26580927896103,93.67288831216831)=2.1051202134248817e+176
POW(94.12091995232358,50.10872117416021)=7.922999826039003e+98
POW(98.5270232178798,34.24779400534687)=1.8830999257248952e+68
POW(54.457271391726756,37.66764719106988)=2.472522652959671e+65
POW(25.493737156668583,10.645909772281845)=939213189755723.8
POW(59.225063222937976,88.42255520930595)=5.3637478196522515e+156
POW(33.558525218547516,21.122421487886715)=1.692977789820128e+32
POW(30.908229790582325,67.77816002076901)=9.873769584072784e+100
POW(50.224303134644884,31.42926306454452)=2.8738958762771125e+53
POW(78.94205067944341,93.04693089512895)=3.457195530832272e+176
POW(78.43236968223015,61.02867036844385)=4.154620985161675e+115
POW(63.63956256471715,41.2132903503649)=2.1753654233805162e+74
POW(62.46822097460287,28.484726948846024)=1.4088353369767683e+51
POW(68.70981438555454,44.951874733435396)=3.779530649440521e+82
POW(22.513803966217427,40.682363898584775)=1.0491014820743749e+55
POW(49.345825828013986,84.93176464488698)=6.467646649778348e+143
POW(84.97887214972023,36.3912239452783)=1.621762696510987e+70
POW(77.81282760007903,92.17520641870196)=2.032518235220326e+174
POW(72.28786447874384,28.74109272552382)=2.7012880785638664e+53
POW(85.67420685269673,86.11409393476525)=2.7901941984167223e+166
POW(21.927294576760186,57.82718438088943)=3.5106683169582544e+77
POW(37.783859025426416,39.85601380312337)=7.330644353106923e+62
POW(84.07756947799525,83.85557480099209)=2.4840490491534975e+161
POW(43.32695310936985,23.92658123316882)=1.452201276155914e+39
POW(87.46010999283915,0.19872416277199484)=2.431557647629287
POW(3.034730087405631,51.40502326008017)=6.0728623248601e+24
POW(91.59729664463,80.11897550720403)=1.5276662680420012e+157
POW(52.279590620188856,29.722353661649098)=1.1827057464027899e+51
POW(51.67315034926601,12.305515896434253)=1209508578564464443392
POW(24.833030699060657,44.09424649340753)=3.256751172376603e+61
POW(90.57583913581553,12.266997321429937)=1.0154661581732607e+24
POW(60.70838439835051,2.2072544271176673)=8631.44551317687
POW(47.20882442966424,60.164986326470945)=5.2189374875738534e+100
POW(93.7986913660639,40.545895885851145)=9.214786600934868e+79
POW(97.25828543095258,85.7610352071189)=3.066506665680164e+170
POW(4.111325090581914,82.7781883573067)=6.672715874907086e+50
POW(29.902381411192625,66.13221591348066)=3.905647552466607e+97
POW(93.20697627840855,36.75193808964548)=2.4046195642650182e+72
POW(69.887366048195,60.173789418037096)=9.648445405543683e+110
POW(97.69523615709569,68.5749784196119)=2.8544640274042884e+136
POW(22.503306278654385,20.54447630397712)=6.042166757709944e+27
POW(81.08745901427676,47.565430584201565)=6.312542249936405e+90
POW(34.65920456350828,69.63867681397835)=1.7018811742453672e+107
POW(8.780463942046351,53.33076010029592)=2.0821092337031374e+50
POW(27.246744549871593,69.23477105031162)=2.364172194527406e+99
POW(13.37908751972775,49.68918640664439)=9.358711691590713e+55
POW(14.347255322566108,42.404629461774924)=1.1281152853839243e+49
POW(31.68816116026238,83.70785967563005)=4.333897708693753e+125
POW(74.00565397903422,61.65735612172484)=1.794451288446609e+115
POW(73.8420211517418,76.37452678080618)=4.906834981499332e+142
POW(5.023701396636207,41.08880112765144)=6.371302469275818e+28
POW(59.74297025770331,2.395664149260468)=18004.730756657747
POW(35.55562402683105,87.21427565131692)=1.8253428195536092e+135
POW(93.3792174658321,11.233135820541102)=1.3554653986089104e+22
POW(39.90295624161518,60.44631035962974)=5.954557109018388e+96
POW(5.282247157355229,78.25301541050239)=3.653795898866769e+56
POW(80.43513523223479,40.80714883692524)=5.699151617623626e+77
POW(35.583830948454484,69.39071417927148)=4.3906911287151796e+107
POW(75.80667489062441,59.27943203115996)=2.679105882636277e+111
POW(21.645244639285053,74.9143904106417)=1.0911075601270535e+100
POW(70.66084898524016,32.74909406172568)=3.6218639547206124e+60
POW(22.025387903034428,0.8796771914206318)=15.182358096802934
POW(68.52113290971698,9.60237478567311)=424888742419606784
POW(67.4512232231476,66.24947188207544)=1.4777818006869996e+121
POW(56.574321749494835,84.83758069018761)=4.875128168070168e+148
POW(2.4493050971494497,54.785987064297146)=2.061097496491684e+21
POW(53.82938951945959,9.792505024070925)=89333984498261632
POW(74.43114924541838,0.8848695901425585)=45.31675837636847
POW(68.83384420708649,46.20957175867988)=8.395460673715684e+84
POW(90.1184369899455,39.048701719775664)=2.1524603751802737e+76
POW(23.018443314811837,45.1602816763026)=3.2488791991156383e+61
POW(8.099369529533625,26.917686972726436)=2.840569405691392e+24
POW(94.98113271324459,50.04411579968985)=9.313486284457706e+98
POW(28.958963455445115,74.45299606013835)=6.825349532313652e+108
POW(4.516142474340528,16.4839465817943)=62109024853.16943
POW(99.37181151282479,91.2433434369575)=1.7257295019580275e+182
POW(88.77404813396637,0.4411956660938865)=7.23727958453388
POW(16.28236452714469,49.339158122751776)=6.097053725750949e+59
POW(21.54042920845379,1.1956096295510024)=39.26917186779371
POW(31.55108137009736,72.9380933857506)=2.1639202799046367e+109
POW(65.2765303618697,78.14270228666976)=6.456852195756768e+141
POW(62.93748636530759,32.11687129226276)=5.9613067184336755e+57
POW(80.54819877393899,26.0948861819097)=5.474065906777361e+49
POW(57.42106094015947,84.49560140710913)=4.303085903569853e+148
POW(43.52847134958162,39.403536833584766)=3.7451450900405015e+64
POW(16.925234584782284,11.065881916152895)=39338689141151.2
POW(53.2952194556171,13.464811719029788)=1.7763651698123938e+23
POW(45.22058652764318,18.498604230686514)=4.18224110480025e+30
POW(73.50355440064035,34.37558367790239)=1.4303375322443332e+64
POW(1.3420510699143402,16.02536549868484)=111.56953102202989
POW(4.343850205469087,61.28804160250721)=1.2419375616386839e+39
POW(61.41723830930466,12.849073058700514)=9.503257778219449e+22
POW(45.94839999983587,63.37927214319339)=2.2567716705181504e+105
POW(18.454823139942615,95.59604468210328)=1.084169987840734e+121
POW(32.68155137217774,65.65091015238707)=2.6022447419199105e+99
POW(75.02802127465165,66.43662990365772)=3.8329149584047474e+124
POW(98.99686889961843,14.645703720711372)=1.6876431644458533e+29
POW(21.09012924574514,87.81659129488577)=1.8885373044955527e+116
POW(75.63962054653256,40.26471018629085)=4.4391288202123854e+75
POW(99.60134394698052,78.84489992623764)=3.572889647661306e+157
POW(59.07651659380376,59.88646067388936)=1.2127394897087033e+106
POW(5.635118243510888,99.07321746149522)=2.479587980328186e+74
POW(75.69918342242458,27.782557908189077)=1.6067930048593748e+52
POW(56.44763425880978,52.972522225704374)=6.15308860746941e+92
POW(80.84900577290307,26.64517252916455)=6.765829890307203e+50
POW(81.45313689012924,24.367998645758334)=3.672814818536602e+46
POW(99.37569423748272,44.00982199074984)=7.942276384578956e+87
POW(16.6944676216874,0.8357949921840413)=10.515260473828793
POW(96.85009060417418,78.259499292596)=2.6989447724097014e+155
POW(23.162310820830953,74.5597159276273)=5.724659568748738e+101
POW(13.131378256069048,52.05538682815597)=1.6371024694832864e+58
POW(23.827134441835966,76.04222847935768)=5.195287791863411e+104
POW(74.0369440769317,94.34459911146095)=2.3570448429602e+176
POW(93.27348094586432,20.3713705766718)=1.3386712298324194e+40
POW(51.72356866970039,37.10237941037057)=3.818741213785292e+63
POW(81.50242180564996,33.80466875553449)=4.040974909066543e+64
POW(51.0352750156843,16.499839914882347)=1.5121301600307137e+28
POW(18.7088978276937,21.338645987071096)=1.3924714113407267e+27
POW(59.74915866882014,25.524954247146965)=2.191733664045216e+45
POW(97.13250712754719,43.77042266990771)=9.722735729793891e+86
POW(59.1219291221371,42.562783390328654)=2.5736633196700943e+75
POW(4.069112087410614,83.60004301292582)=8.999061335550935e+50
POW(62.95328660552549,20.500132320355434)=7.587791982489665e+36
POW(98.12897536315903,69.02091343555963)=2.9899680338866468e+137
POW(50.140816257814876,57.07245685177398)=1.0816837334730381e+97
POW(35.413995886465685,57.495794737834736)=1.1777251038220447e+89
POW(19.834810638875656,33.625955065322806)=4.2389432365874123e+43
POW(37.78086328627454,30.44477271442928)=1.0463664634546105e+48
POW(46.398422909706824,11.705930891113134)=32208575100426309632
POW(73.19597871203652,15.024862443995445)=1.0319627985216818e+28
POW(3.543752439737686,62.89639875689807)=3.6246623013947803e+34
POW(17.9897255726941,46.086515568285236)=6.913658543750448e+57
POW(12.507169780943475,55.55704480371482)=9.013931148480832e+60
POW(11.815254673318416,52.34741025600764)=1.3791714482748583e+56
POW(6.342941211042004,43.80895837903231)=1.4044920315213778e+35
POW(24.977314198534685,97.6762178538979)=3.213526385370036e+136
POW(91.93676904405642,95.32239459069538)=1.4604807592488016e+187
POW(3.110334428045293,31.531485905777412)=3458913773730055.5
POW(17.130425464220526,83.53997760719201)=1.1720970886801903e+103
POW(43.809777678986386,44.213959414721245)=3.8050095313206934e+72
POW(26.023061848937356,64.26823808982815)=9.174665565672836e+90
POW(91.8652654006251,70.76377182960549)=8.317504995073202e+138
POW(40.16833661141093,89.23064433793934)=1.3049359037668989e+143
POW(18.189536029419337,49.98549302610933)=9.393011874435385e+62
POW(26.198446783341154,47.2566992952177)=1.054437668180894e+67
POW(89.01595281894214,74.59187386135675)=2.596926032584257e+145
POW(44.581575642120434,66.69311858994936)=9.712199063981232e+109
POW(62.59489634533709,77.94834988089968)=1.0895437377025064e+140
POW(30.444490736159313,94.0846824510572)=3.7622378252992e+139
POW(23.538064469284762,5.450014009897897)=29934347.4390162
POW(79.65826828232552,46.334691324018976)=1.2386399283288352e+88
POW(12.004836756523924,19.682955209969855)=1757603457536959447040
POW(50.0467508480667,90.86996501271261)=2.643792852240831e+154
POW(99.92849482133919,32.524291768160666)=1.0926466307552666e+65
POW(9.106412909749883,28.741322184408922)=3.740338807162179e+27
POW(61.92221899432504,5.056435574631141)=1149096342.6794884
POW(8.141929097049452,25.998874285836095)=4.7630484474193455e+23
POW(19.715474795024672,2.825908347645817)=4560.438350304505
POW(17.90568658900282,41.08467648422567)=3.01112644164449e+51
POW(61.93530670694768,84.86796448350256)=1.1971687498091383e+152
POW(56.774665834890925,5.732680928030766)=11376496672.360994
POW(62.530715807797534,89.26255263839376)=2.1080537473011876e+160
POW(78.63589126289162,47.528839874729826)=1.2492751646992802e+90
POW(42.54432920532542,70.42838963785788)=5.20830652289413e+114
POW(55.75406801701307,76.64596925733714)=6.999380054072537e+133
POW(81.96111347993693,42.21083901666247)=5.956523939325108e+80
POW(38.00701357205837,87.89424575676117)=7.25992858383353e+138
